"","formid","speciesid","abundance","X","id","fish_memberid","region","site","familyid","timecode","site4","site1","comments","batch","memberid","exp","type","geogr","geogr4","geogr1","latitude","longitude","date","stemp","btemp","btime","start","visibility","averagedepth","maxdepth","current","habitat","year","month","day","occ","exp_binary","abundance2","abund_trans","site_dmy","habitat2"
"1",892,130,0,"933086",933095,791,"TWA",34050001,53,0,3405,3,"NULL","mara9408.dat",791,"N",1,34050001,3405,3,0,0,"1994-08-15",84,84,48,14,2,"2","NULL",2,1,1994,8,15,0,0,1,0,"340500011581994","mixed"
"3835",1420,130,2,"4291",4291,1872,"TWA",34080004,38,0,3408,3,"NULL","kwst9407.dat",1872,"N",1,34080004,3408,3,24.4478,-81.8742,"1994-07-19",86,86,62,16,2,"2","NULL",2,1,1994,7,19,1,0,3,2,"340800041971994","mixed"
"3",2031,130,0,"153813",153813,27,"TWA",34030026,53,0,3403,3,"NULL","oind9608.dat",27,"N",1,34030026,3403,3,24.9895,-80.3827,"1994-10-26",86,82,25,13,5,"10","NULL",1,9,1994,10,26,0,0,1,0,"baseline","mixed"
"4",2032,130,0,"154363",154363,27,"TWA",34040004,53,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040004,3404,3,24.9467,-80.457,"1994-12-07",85,80,30,11,3,"8","NULL",2,1,1994,12,7,0,0,1,0,"baseline","mixed"
"5",2034,130,0,"154132",154132,27,"TWA",34040004,53,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040004,3404,3,24.9465,-80.4565,"1994-05-16",0,0,55,13,4,"6","NULL",2,3,1994,5,16,0,0,1,0,"baseline","lowreef"
"143025",2035,130,1,"154263",154263,27,"TWA",34040004,38,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040004,3404,3,0,0,"1994-06-09",0,0,50,13,4,"3","NULL",1,1,1994,6,9,1,0,2,1,"baseline","mixed"
"935696",2042,130,1,"1041506",1041516,27,"TWA",34040004,38,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040004,3404,3,24.9507,-80.455,"1994-02-25",73,0,40,9,3,"5","NULL",1,3,1994,2,25,1,0,2,1,"340400042521994","lowreef"
"6",2043,130,0,"1044998",1045008,27,"TWA",34040004,53,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040004,3404,3,24.9522,-80.4593,"1994-02-25",73,0,35,10,4,"4","NULL",1,2,1994,2,25,0,0,1,0,"340400042521994","highreef"
"7",2044,130,0,"1040190",1040200,27,"TWA",34030009,53,0,3403,3,"NULL","oind9603.dat",27,"N",1,34030009,3403,3,25.008,-80.3768,"1994-02-27",72,0,50,10,4,"5","NULL",2,2,1994,2,27,0,0,1,0,"baseline","highreef"
"8",2045,130,0,"1041706",1041716,27,"TWA",34040007,53,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040007,3404,3,24.8698,-80.5703,"1994-02-08",73,0,25,10,2,"11","NULL",2,9,1994,2,8,0,0,1,0,"baseline","mixed"
