"","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","SUBREGION_NR","SPECIES_NR","SPECIES_CD","LEN","NUM","TIME_SEEN","MPA_NR","PROT","STRAT","REGION","ZONE_NR","DEPTH_CLASS","RUGOSITY_CLASS","NUM2"
"154","2012001U",2013,10,9,1,26.22395,-80.081383,8.1,6.1,1405988,"LIRI",13,123,"LAC MAXI",0,0,1,0,0,"INNR0","SEFCRI",NA,NA,NA,0
"519","2012001U",2013,10,9,2,26.223683,-80.081783,8.5,8.4,1406643,"LIRI",13,123,"LAC MAXI",0,0,1,0,0,"INNR0","SEFCRI",NA,NA,NA,0
"821","2012001U",2013,10,9,2,26.223683,-80.081783,8.5,8.4,1406643,"LIRI",13,123,"LAC MAXI",16,0.5,1,0,0,"INNR0","SEFCRI",NA,NA,NA,1
"1455","2012002U",2013,10,17,2,26.157,-80.087833,11.1,8.4,1503720,"LIRI",13,123,"LAC MAXI",15,0,3,0,0,"INNR0","SEFCRI",NA,NA,NA,0
"1661","2012002U",2013,10,17,2,26.157,-80.087833,11.1,8.4,1503720,"LIRI",13,123,"LAC MAXI",0,0,1,0,0,"INNR0","SEFCRI",NA,NA,NA,0
"1737","2012002U",2013,10,17,1,26.157167,-80.087783,9.3,7.6,1503064,"LIRI",13,123,"LAC MAXI",0,0,1,0,0,"INNR0","SEFCRI",NA,NA,NA,0
"2149","2012003U",2013,10,17,1,26.153167,-80.087717,10.4,9.1,1508968,"LIRI",13,123,"LAC MAXI",0,0,1,0,0,"INNR0","SEFCRI",NA,NA,NA,0
"2267","2012003U",2013,10,17,2,26.1533,-80.087517,10.8,6.9,1508969,"LIRI",13,123,"LAC MAXI",0,0,1,0,0,"INNR0","SEFCRI",NA,NA,NA,0
"2469","2012003U",2013,10,17,2,26.1533,-80.087517,10.8,6.9,1508969,"LIRI",13,123,"LAC MAXI",45,0,3,0,0,"INNR0","SEFCRI",NA,NA,NA,0
"3252","2012004U",2013,10,5,2,25.974833,-80.089167,20.4,6.1,1768088,"APRD",13,123,"LAC MAXI",22,0.5,1,0,0,"PTDP0","SEFCRI",NA,NA,NA,1
