"","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","ZONE_NR","SUBREGION_NR","MPA_NR","SPECIES_NR","SPECIES_CD","LEN","NUM","TIME_SEEN","PROT","STRAT","REGION","DEPTH_CLASS","RUGOSITY_CLASS","NUM2"
"192","001U",1999,4,27,3,25.6266667,-80.0916666,10.7,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"193","001U",1999,4,27,4,25.6266667,-80.0916666,9.6,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"1121","001U",1999,4,27,2,25.6266667,-80.0916666,10.7,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",12,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"1122","001U",1999,4,27,2,25.6266667,-80.0916666,10.7,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",13,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"1163","001U",1999,4,27,2,25.6266667,-80.0916666,10.7,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",15,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"1201","001U",1999,4,27,1,25.6266667,-80.0916666,10.2,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",20,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"1240","001U",1999,4,27,1,25.6266667,-80.0916666,10.2,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"1934","002U",1999,4,27,2,25.6266667,-80.0916666,8.5,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"2054","002U",1999,4,27,3,25.6266667,-80.0916666,10.5,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"2339","002U",1999,4,27,1,25.6266667,-80.0916666,9.8,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"3355","003U",1999,4,30,6,25.6266667,-80.0916666,5.5,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"3472","003U",1999,4,30,5,25.6266667,-80.0916666,7,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"3595","003U",1999,4,30,2,25.5566667,-80.1016666,7.6,8,8255385,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"3634","003U",1999,4,30,4,25.6266667,-80.0916666,8.2,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",18,1,1,0,"FMLR","FLA KEYS",NA,NA,1
"3717","003U",1999,4,30,1,25.5566667,-80.1016666,9.8,8,8255385,"SPGR_LR",4,12,0,123,"LAC MAXI",15,1,1,0,"FMLR","FLA KEYS",NA,NA,1
"3723","003U",1999,4,30,7,25.6266667,-80.0916666,6.1,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"3956","003U",1999,4,30,3,25.6266667,-80.0916666,8.8,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"6109","004U",1999,5,3,2,24.99,-80.4153333,5.6,8,7670070,"RUBB_LR",4,11,0,123,"LAC MAXI",0,0,1,0,"FSLR","FLA KEYS",NA,NA,0
"6162","004U",1999,5,3,3,24.99,-80.4153333,4.2,8,7670070,"RUBB_LR",4,11,0,123,"LAC MAXI",-9,0,3,0,"FSLR","FLA KEYS",NA,NA,0
"6192","004U",1999,5,3,1,24.99,-80.4153333,6.9,8,7670070,"RUBB_LR",4,11,0,123,"LAC MAXI",0,0,1,0,"FSLR","FLA KEYS",NA,NA,0
