"geogid","geog","lat","lon"
"1","BERMUDA",NULL,NULL
"11","BERMUDA",NULL,NULL
"1101","Bermuda",NULL,NULL
"11010001","Minnie Breslauer","32 14.68","-64 48.52"
"11010002","Hermes","32 14.71","-64 47.70"
"11010003","Mari Celeste","32 14.53","-64 49.93"
"11010004","L'Herminie","32 19.14","-64 58.56"
"11010005","Constellation and Montana Wrecks","32 21.67","-64 54.84"
"11010006","Caraquet","32 27.78","-64 50.10"
"11010007","Taunton","32 28.98","-64 42.29"
"11010008","Cristobal Colon","32 29.11","-64 43.20"
"11010009","Aristo","32 28.74","-64 39.44"
"11010010","Beaumaris Castle",NULL,NULL
"11010011","Rita Zovetta","32 21.50","-64 38.49"
"11010012","Pelinaion Wreck","32 21.35","-64 38.61"
"11010013","Kate","32 19.64","-64 41.79"
"11010015","Whalebone Bay","32 21.875","-64 42.812"
"11010016","Ariel Sands, Cox Bay","32 17.30","-65 45.00"
"11010017","Hall's Island, Harrington Sound","32 20.00","-64 40.00"
"11010018","North Rock","32 28.44","-64 46.11"
"11010019","South West Breaker","32 13.86","-64 51.94"
"11010020","North East Breaker","32 28.88","-64 41.30"
"11010021","Mills Breaker","32 24.55","-64 37.72"
"11010022","The Cathedral","32 20.43","-64 39.58"
"11010023","Tarpon Hole","32 16.13","-64 46.54"
"11010024","North Carolina","32 15.70","-64 57.54"
"11010025","Airplane","32 15.24","-64 58.61"
"11010026","Blanche King","32 16.28","-64 58.54"
"11010027","Darlington","32 17.25","-64 59.05"
"11010028","Vixen","32 19.35","-64 54.14"
"11010029","Commissioner's Point, Ireland Island North","32 19.84","-64 49.96"
"11010030","Lartington","32 21.81","-64 54.79"
"11010032","Eastern Blue Cut / Blue Hole","32 23.35","-64 53.33"
"11010033","Xing Da","32 24.89","-64 54.48"
"11010034","Snake Pit","32 26.43","-64 50.15"
"11010035","Hog Breaker","32 27.79","-64 49.81"
"11010036","Madiana","32 28.04","-64 49.20"
"11010037","Flatts Inlet","32 19.35","-64 44.21"
"11010038","Devonshire Bay","32 17.98","-64 44.71"
"11010039","John Smith's Bay","32 19.09","-64 42.69"
"11010040","Tobacco Bay to Fort St. Catherine","32 23.46","-64 40.62"
"11010041","Church Bay, South Shore","32 14.83","-64 50.85"
"11010042","Three Sisters","32 13.87","-64 52.05"
"11010043","South West Reef area","32 13.24","-64 55.68"
"11010044","Harrington Sound","32 20.00","-64 43.56"
"11010045","Stag Rocks","32 20.01","-64 44.39"
"11010046","Catacombs, South Shore",NULL,NULL
"11010047","Nonsuch Island-Castle Harbor side","32 20.80","-64 40.03"
"11010048","Nonsuch Island-south side","32 20.76","-64 39.77"
"11010049","Clearwater","32 21.42","-64 39.34"
"11010050","South Reef, Cooper's Island","32 20.94","-64 39.43"
"11010051","Castle Harbour, Cooper's Island","32 21.10","-64 39.67"
"11010052","Blue Grotto (Castle Harbour)","32 20.91","-64 42.48"
"11010053","Marriott Bay (Castle Harbour)","32 20.04","-64 41.82"
"11010054","Coney Island","32 21.53","-64 43.02"
"11010055","Smugglers Reef, South Shore","32 26.50","-64 50.30"
"11010057","Somerset, Daniel's Head","32 18.31","-64 52.71"
"11010058","Clarence Cove (Deep Bay by Spanish Point)","32 18.47","-64 48.19"
"11010059","King Tug","32 14.40","-64 49.61"
"11010060","Guernet Rock","32 20.34","-64 39.81"
