year,mean,sd,region,,
2013,0.12846,0.011925,SEFL,,
2014,0.09048,0.010605,SEFL,,
2015,0.11135,0.01441,SEFL,,
2016,0.12829,0.015169,SEFL,,
2017,,,SEFL,,
2018,0.20493,0.022113,SEFL,,
2019,,,SEFL,,
2020,,,SEFL,,
2021,0.13904,0.019176,SEFL,,
2022,0.17641,0.021794,SEFL,,
2023,,,SEFL,,
2024,0.22299,0.025871,SEFL,,
1997,0.22647,0.03399,FLKEYS,,
1998,0.213,0.03933,FLKEYS,,
1999,0.38003,0.04163,FLKEYS,,
2000,0.62213,0.05214,FLKEYS,,
2001,0.69294,0.04809,FLKEYS,,
2002,0.79409,0.05928,FLKEYS,,
2003,0.91142,0.07224,FLKEYS,,
2004,0.98869,0.1028,FLKEYS,,
2005,0.92271,0.0647,FLKEYS,,
2006,0.8285,0.06052,FLKEYS,,
2007,0.87933,0.05476,FLKEYS,,
2008,1.31566,0.07455,FLKEYS,,
2009,0.96238,0.0478,FLKEYS,,
2010,0.76086,0.05192,FLKEYS,,
2011,0.80217,0.04677,FLKEYS,,
2012,0.96829,0.05607,FLKEYS,,
2013,,,FLKEYS,,
2014,1.24541,0.07087,FLKEYS,,
2015,,,FLKEYS,,
2016,1.43887,0.08346,FLKEYS,,
2017,,,FLKEYS,,
2018,1.06493,0.06299,FLKEYS,,
2019,,,FLKEYS,,
2020,,,FLKEYS,,
2021,,,FLKEYS,,
2022,0.82336,0.09177,FLKEYS,,
2023,,,FLKEYS,,
2024,1.90704,0.17469,FLKEYS,,
