"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-13917.95255,-13918,52.2991045015431,50.7049199999997,-14005.115,-13833.795,1.00169908908749,616.909268533975,1015.66777546665
"2","cut[1]",-1.993279574075,-1.94668,1.20206338266211,1.138362519,-3.9810965,-0.14866715,1.00420689867702,1894.00894222236,1266.20240754295
"3","cut[2]",-0.478885738255,-0.430268,1.19580802291443,1.1442358389,-2.417144,1.376355,1.00455241016327,1931.25319245878,1265.58548148277
"4","cut[3]",3.9035952332,3.931705,1.25820512498141,1.22447934,1.830535,5.9679825,1.00509088383344,2135.11686864448,1462.2465581704
"5","x0[1]",-0.69674896455,-0.6977825,0.122660332732681,0.1152773391,-0.8967545,-0.49332705,1.00290427883833,1253.34206693126,1086.39354873518
"6","x0[2]",-2.22635700898,-2.224595,1.31525324014259,1.32574092,-4.4229775,-0.1725078,1.0017806141533,1623.05634969287,1275.52558658266
"7","recip_phi",0.0005797785751025,0.000412239,0.000557186686156488,0.0004141465188,2.7292265e-05,0.0016846845,0.999524204592014,2204.98775374673,1212.09923611372
"8","beta1[1]",0.0517532837749,0.0539063,0.0622025987713232,0.0605471601,-0.05579096,0.1525116,1.00149843193367,1743.72808677062,1462.54521771345
"9","beta1[2]",-0.0732694620364,-0.07470375,0.0633888340983217,0.06214206705,-0.1763087,0.03591449,1.00282866666811,1733.09327809633,1368.15565943685
"10","beta1[3]",0.072373120975,0.0724828,0.0201961481702654,0.02003674596,0.03881562,0.10554545,1.00047180346184,2859.13306489306,1634.1734983717
"11","beta1[4]",0.1215043477,0.121479,0.0231317351183513,0.022958061,0.08436987,0.15924635,1.00037973478707,3445.99064451005,1561.80598550239
"12","beta2[1]",0.128763087162,0.1317685,0.151110174261267,0.15350810748,-0.12550665,0.3665793,1.00111830300951,2368.78640869391,1567.13877014376
"13","beta2[2]",0.88322879579,0.8689275,0.479517732354239,0.4718255892,0.10456265,1.705705,0.999760767277926,1368.78033698304,1023.19192291686
"14","beta2[3]",-1.29589564169,-1.277325,0.521641729729795,0.5119795863,-2.1929935,-0.4589971,1.00169624382513,1219.92396081902,1064.04863200899
"15","beta2[4]",-0.0752814926897,-0.0736308,0.117152106511092,0.1105089891192,-0.27136115,0.11953285,1.00007914549142,2352.60153506558,1604.0605877977
"16","beta2[5]",-0.0376279409866,-0.03502795,0.0989454677556163,0.09862025397,-0.2033994,0.12618035,1.00053540878923,2440.02896453138,1498.03203742965
"17","beta2[6]",0.205230890147,0.194536,0.319337730287898,0.3134646354,-0.31133615,0.7357724,1.00202084139703,2303.9722574665,1566.70696858859
"18","a_psu[1]",-0.045604573273,-0.0466228,1.04195446082864,1.04313853098,-1.7413365,1.6291705,1.00503892433271,3207.99524518332,1134.24357740388
"19","a_psu[2]",0.00755680926,0.0195008,1.04585827208323,1.06072513218,-1.759691,1.6762775,1.00897154053041,3508.42756355723,1237.69159115186
"20","a_psu[3]",0.04768500628,0.0582532,1.02386234391786,1.0164475797,-1.598323,1.76769,0.999561970049593,4395.99132708598,1307.39989244463
"21","a_psu[4]",-0.0618928662505,-0.06071315,1.0057127191699,1.02966696021,-1.692284,1.52955,1.00495117241135,2865.65090236121,1147.30043029628
"22","a_psu[5]",-0.0647280132365,-0.0848847,0.971093126128931,0.9350543223,-1.6666215,1.574973,1.00168186495,1948.03444366683,1359.23480882618
"23","a_psu[6]",-0.0625649812655,-0.0654265,0.999409822291593,1.0076705877,-1.722575,1.5664975,1.00243145050698,3405.13689307348,1219.64746812491
"24","a_psu[7]",0.034603431416,0.0259181,1.01756518992963,0.95886769524,-1.6764025,1.713664,1.00192223916052,3892.19494649466,1112.59404136692
"25","a_psu[8]",0.258144361694,0.2807055,1.0217598074863,1.0408978776,-1.429625,1.897012,1.00181924524737,2810.79363936837,1290.82915784218
"26","a_psu[9]",-0.0082767108265,-0.01098285,0.987007116967738,1.05068548389,-1.5932705,1.5805135,1.00715300229614,2982.33168705356,1682.04201231971
"27","a_psu[10]",-0.06218795086995,-0.054679,0.948475947566855,0.9122667603,-1.6861655,1.5158435,1.00329902008155,3451.68898718008,1197.71454018484
"28","a_psu[11]",-0.0383319342195,0.0113684,1.00058859611698,0.98705192124,-1.699704,1.578451,1.00063301455643,3784.90844283986,1397.34475461325
"29","a_psu[12]",-0.01543691668795,-0.00839867,0.946313689615685,0.944453754258,-1.583317,1.512781,1.00055876979037,2542.55590915609,1444.27569867011
"30","a_psu[13]",-0.0584631192755,-0.04871625,1.00694267523915,1.01665254915,-1.7073765,1.600076,1.00130018211462,4268.52565116351,1283.55182311901
"31","a_psu[14]",0.176749986211,0.1828735,0.968376258275136,0.9428831916,-1.4250375,1.714735,1.00034452349568,3816.17579199477,1351.57000005929
"32","a_psu[15]",0.036501141255,0.02825075,1.01491871279015,0.99612965865,-1.5987735,1.7739685,0.999888701902581,3697.43255042107,1395.73879885811
"33","a_psu[16]",0.008885144654,0.01656215,0.987532898032981,0.99311123331,-1.6546575,1.626559,1.00141153291635,3847.77939465981,1255.92345023055
"34","a_psu[17]",-0.032877439503,-0.01151455,0.975776673274133,0.9505297011,-1.628055,1.530673,1.00236923554228,3447.60567023561,1304.41470737758
"35","a_psu[18]",-0.012856215344,-0.0222296,0.958485739727786,0.97738788966,-1.602569,1.5448835,1.00383961509124,2590.31236807412,1497.4990667224
"36","a_psu[19]",-0.08341124619,-0.0609453,0.983866125319066,1.03127847228,-1.678,1.520346,1.00079084221716,2972.82646359371,1482.35802532951
"37","a_psu[20]",-0.053465015719115,-0.0523512,1.01757331763206,1.0019670255,-1.7523125,1.607331,1.00521036858122,2802.8191571521,1427.54929620476
"38","a_psu[21]",-0.0745756886955,-0.06996085,0.937602274761498,0.92271367881,-1.6494545,1.478186,1.00003860697041,3809.03991970435,1769.07332418597
"39","a_psu[22]",-0.06042155832575,-0.06970705,0.992160209285894,0.99258950637,-1.7083855,1.57464,0.999957065703108,3005.93814697806,1341.84969482664
"40","a_psu[23]",0.003066992224,-0.00907396,0.959044280635193,0.924934035396,-1.603941,1.592316,0.999957629695293,3155.4594601844,1587.63750532699
