"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-63208.4029,-63207.2,129.529609863945,135.138990000008,-63422.715,-63002.595,1.00576611593616,446.594453575019,699.797221740755
"2","cut[1]",-3.6064854614,-3.610085,1.29708864112528,1.325785398,-5.7971715,-1.490717,0.999134635423023,1939.39623507292,1468.82094763385
"3","cut[2]",-2.1358849983345,-2.142965,1.29716650798088,1.325978136,-4.323865,-0.0183178150000003,0.999191169134509,1945.59439449913,1461.03946868301
"4","cut[3]",2.239521292125,2.22475,1.30016636036019,1.325281314,0.0718232,4.3756555,0.999611856151984,1970.25410178939,1513.38010339779
"5","cut[4]",6.905879825,6.89735,1.36376441926806,1.391323731,4.637846,9.1414535,0.999851362426593,2057.80446114193,1516.18563729536
"6","x0[1]",-1.2277479695,-1.22001,0.162336733991146,0.158445462,-1.49845,-0.96516475,1.01635011939125,257.258952591324,645.830646367204
"7","x0[2]",-2.83276552915,-2.842485,1.31632065864342,1.343621076,-5.00094,-0.6856529,0.99968571680381,1876.57528141564,1447.41517845836
"8","recip_phi",0.0001780613089565,0.0001250965,0.00017735461242588,0.00012753881175,1.024085e-05,0.0005210068,1.00047120864299,2381.17629887788,1031.13106624796
"9","beta1[1]",0.446013915,0.446097,0.0415754235571058,0.0412896687,0.37702395,0.5162271,1.00030647664419,1464.8004453718,1585.15388554988
"10","beta1[2]",-0.339472441,-0.3388865,0.0411313858445745,0.0396462066,-0.4103879,-0.2707212,1.00036596692563,1493.40364905557,1552.97637011534
"11","beta1[3]",0.0212150112735,0.0213383,0.0080952860044282,0.0082084149,0.0079139375,0.03447318,1.00029109819324,2547.62256891205,1658.38245329865
"12","beta1[4]",-0.07933861035,-0.07897585,0.0197793167838668,0.01943043669,-0.11272425,-0.047941765,1.00174793701529,2914.44161702464,1566.13174349034
"13","beta2[1]",0.365295431,0.364806,0.0240207331229944,0.0245629755,0.3270798,0.40524755,1.00053208729593,2143.23342559472,1679.58275948924
"14","beta2[2]",1.43527873,1.436305,0.0883081106563318,0.086606079,1.2892085,1.577151,0.999770665238117,999.637249346144,1291.6870658926
"15","beta2[3]",-1.0535441105,-1.05751,0.0846398882826031,0.0840337679999998,-1.1881605,-0.9078254,0.998679579781162,991.212770634944,1063.03756533144
"16","beta2[4]",0.0349623422285,0.0348588,0.0215494623443801,0.02135411019,-0.00052515905,0.06994049,1.00332432224108,2148.22864785506,1393.57795163505
"17","beta2[5]",0.03096990184355,0.0311047,0.0199911813535503,0.01991272647,-0.001991912,0.064040865,1.00004513684867,2609.94856261893,1742.74840108656
"18","beta2[6]",0.11564269614775,0.116261,0.0640369493988458,0.06392496768,0.013040215,0.2168351,1.00148596145402,1248.89335860352,1290.71232945462
"19","a_psu[1]",-0.0042678341689,-0.000767367,0.971230640157501,0.9776553507,-1.601022,1.572285,1.00053121968654,3290.90816190315,1360.65014343583
"20","a_psu[2]",-0.2156212185435,-0.2380055,0.973481908588859,0.9443687568,-1.858853,1.4176595,1.00328423001284,4366.56663964587,1345.98441107042
"21","a_psu[3]",0.141398555515,0.160346,0.950972598353255,0.9608908512,-1.4387585,1.731213,0.999748685818066,3538.30374180775,1330.10196020287
"22","a_psu[4]",0.088059213161,0.1040975,0.90405192972713,0.9371618382,-1.3950255,1.5402925,1.00847084765377,4688.78433454375,1402.96794242811
