"","year","original.mean","original.se","state.mean","state.se"
"1",1993,NA,NA,0.220828499655333,0.40995651842199
"2",1994,NA,NA,0.215522416608,0.359670302960165
"3",1995,NA,NA,0.214803284249773,0.317675048146049
"4",1996,NA,NA,0.210244450807033,0.257723685356654
"5",1997,0.22647,0.03399,0.247157452464333,0.128579500800917
"6",1998,0.213,0.03933,0.27788218781,0.118103816856194
"7",1999,0.38003,0.04163,0.423130730783333,0.110786856902316
"8",2000,0.62213,0.05214,0.593676142566667,0.104643985934906
"9",2001,0.69294,0.04809,0.696516779666667,0.106296048985807
"10",2002,0.79409,0.05928,0.787818199333333,0.106600635107129
"11",2003,0.91142,0.07224,0.872465843,0.109491798393278
"12",2004,0.98869,0.1028,0.924034052,0.121003888297364
"13",2005,0.92271,0.0647,0.906388306333333,0.101715801717404
"14",2006,0.8285,0.06052,0.868802364666667,0.103532270092369
"15",2007,0.87933,0.05476,0.926626605666667,0.100931804940727
"16",2008,1.31566,0.07455,1.12616092433333,0.133820085042735
"17",2009,0.96238,0.0478,0.971270204333333,0.102776137726069
"18",2010,0.76086,0.05192,0.838152862666667,0.111685585679314
"19",2011,0.80217,0.04677,0.864738896666667,0.113048571937725
"20",2012,0.96829,0.05607,0.963950065333333,0.107923583304723
"21",2013,NA,NA,1.06132801533333,0.16785789445092
"22",2014,1.24541,0.07087,1.18278309,0.13147630134188
"23",2015,NA,NA,1.24853076466667,0.181937659986571
"24",2016,1.43887,0.08346,1.30994255966667,0.143181136030028
"25",2017,NA,NA,1.208237342,0.17352687860472
"26",2018,1.06493,0.06299,1.11808193266667,0.124100309539407
"27",2019,NA,NA,1.11155807366667,0.200850851238438
"28",2020,NA,NA,1.08800431733333,0.217143065222054
"29",2021,NA,NA,1.06228705763333,0.207884770991264
"30",2022,0.82336,0.09177,1.027964961,0.162020237877709
"31",2023,NA,NA,1.28906517666667,0.194746547878065
"32",2024,1.90704,0.17469,1.55096131233333,0.211105783479206
