"","year","original.mean","original.se","state.mean","state.se"
"1",1994,NA,NA,0.130905590502,0.164987536308735
"2",1995,NA,NA,0.13411156057248,0.16145651864049
"3",1996,NA,NA,0.1332460752392,0.15566454604697
"4",1997,NA,NA,0.1381893567104,0.152056497455447
"5",1998,NA,NA,0.1434099158712,0.147795592871303
"6",1999,NA,NA,0.13665482309092,0.143394394961038
"7",2000,NA,NA,0.13855579860468,0.137999991368991
"8",2001,NA,NA,0.130968809688,0.131925558736584
"9",2002,NA,NA,0.1184110019216,0.128279232623407
"10",2003,NA,NA,0.123054545576892,0.124725823526629
"11",2004,NA,NA,0.12760103961932,0.121240516291364
"12",2005,NA,NA,0.1364737291224,0.116855806471432
"13",2006,NA,NA,0.14163501954664,0.11043441874535
"14",2007,NA,NA,0.1355025903396,0.104555824305306
"15",2008,NA,NA,0.1289739822204,0.0983629648732173
"16",2009,NA,NA,0.11300825017632,0.0888909514896209
"17",2010,NA,NA,0.09801227718008,0.0864170848259532
"18",2011,NA,NA,0.0948475566864,0.0781836816187347
"19",2012,NA,NA,0.1060092855744,0.0567239213145248
"20",2013,0.12846,0.011925,0.123911502324,0.0334562182022779
"21",2014,0.09048,0.010605,0.11234153354,0.0325608686810236
"22",2015,0.11135,0.01441,0.11459139380164,0.0327860741122854
"23",2016,0.12829,0.015169,0.12441739733472,0.0340496901890633
"24",2017,NA,NA,0.142493265944,0.0445289873187471
"25",2018,0.20493,0.022113,0.1832066568,0.0384862698294479
"26",2019,NA,NA,0.177438435192,0.0476967840853044
"27",2020,NA,NA,0.176902386968,0.0486721701929479
"28",2021,0.13904,0.019176,0.16139158464,0.0349346322353883
"29",2022,0.17641,0.021794,0.17288254308,0.0321531722036995
"30",2023,NA,NA,0.196046483732,0.048122789651924
"31",2024,0.22299,0.025871,0.20095976064,0.0408675359146816
