"","year","rvc.n.SSU","rvc.n.PSU","rvc.freq.occ","reef.n.surveys","reef.n.sites","reef.freq.occ"
"1",1999,615,161,0.448780487804878,557,70,0.734290843806104
"2",2000,918,228,0.595860566448802,646,77,0.656346749226006
"3",2001,1389,305,0.617710583153348,1368,88,0.684941520467836
"4",2002,1322,356,0.67624810892587,2121,99,0.663837812352664
"5",2003,908,237,0.653083700440529,1618,95,0.628553770086527
"6",2004,503,127,0.648111332007952,934,88,0.613490364025696
"7",2005,913,256,0.662650602409639,724,76,0.570441988950276
"8",2006,1182,328,0.624365482233503,1167,88,0.508140531276778
"9",2007,1312,317,0.633384146341463,1072,90,0.514925373134328
"10",2008,2199,376,0.789449749886312,617,64,0.448946515397083
"11",2009,2459,516,0.712891419276129,704,71,0.552556818181818
"12",2010,1631,379,0.687921520539546,815,66,0.386503067484663
"13",2011,1706,402,0.664712778429074,596,62,0.463087248322148
"14",2012,2038,416,0.739941118743867,548,65,0.452554744525547
"15",2013,NA,NA,NA,702,76,0.588319088319088
"16",2014,2030,432,0.688177339901478,728,82,0.604395604395604
"17",2015,NA,NA,NA,702,79,0.660968660968661
"18",2016,1943,405,0.726196603190942,759,73,0.636363636363636
"19",2017,NA,NA,NA,674,85,0.646884272997033
"20",2018,2294,434,0.760680034873583,821,75,0.749086479902558
"21",2019,NA,NA,NA,735,70,0.606802721088435
"22",2020,NA,NA,NA,876,59,0.621004566210046
"23",2021,NA,NA,NA,1048,59,0.520038167938931
"24",2022,1682,648,0.727705112960761,806,65,0.562034739454094
"25",2023,NA,NA,NA,1008,68,0.613095238095238
"26",2024,1796,622,0.784521158129176,147,15,0.421768707482993
